location,arr,dep
Swindon [SWI],,0724
Rushey Platt,,0725.5
Wootton Bassett Jn,,0730.5
Dauntsey,,0734
Chippenham [CPM],0738.5,0739.5
Thingley East Junction,,0742
Thingley Jn,,0743
Melksham [MKM],,0747.5
Bradford Jn,,0752.5
Trowbridge [TRO],0754.5,0755.5
Hawkeridge Jn,,0800
Westbury [WSB],0801,0803
Dilton Marsh [DMH],0806,0806.5
Warminster [WMN],0811.5,0812.5
Beechgrove Gf,,0814
Upton Lovell,,0818
Wylye Ground Frame,,0821.5
Wylye Ahb,,0821.5
Wishford,,0825
Wilton Jn,,0828.5
Salisbury [SAL],0832,0836
Tunnel Jn.,,0840.5
Laverstock South Jn,,0841
East Grimstead E.C.C.,,0847.5
Dean [DEN],,0850
Dean Hill Sdgs. M.O.D.,,0851
Mottisfont & Dunbridge [DBG],,0853
Romsey [ROM],0856.5,0857.5
Redbridge [RDB],,0904
Church Lane Junction,,0905.5
Millbrook (Hampshire) [MBK],,0906
Southampton Central [SOU],0907.5,0910
Northam Jn,,0912.5
St Denys [SDN],,0914.5
Bitterne [BTE],,0915.5
Woolston [WLS],,0917.5
Sholing [SHO],,0918.5
Netley [NTL],,0920.5
Hamble [HME],,0921.5
Bursledon [BUO],,0923
Swanwick [SNW],,0926
Fareham [FRM],0931,0932.5
Portchester [PTC],,0936.5
Cosham [CSA],0939.5,0940.5
Cosham Jn,,0942
Portcreek Jn,,0943
Hilsea [HLS],,0943.5
Fratton East,,0946
Fratton [FTN],0947,0948
Portsmouth & Southsea [PMS],0950.5,0951.5
Portsmouth Harbour [PMH],0955,
