location,arr,dep
Gloucester [GCR],,1452
Awre,,1506
Lydney [LYD],,1512
Chepstow [CPW],,1521
Severn Tunnel Junction [STJ],,1533
Llanwern West Jn,,1541
Maindee West Jn,,1544
Newport (South Wales) [NWP],,1547
Ebbw Jn,,1550
Marshfield,,1557
Long Dyke Jn,,1605
Cardiff Central [CDF],1607,1630
Long Dyke Jn,,1632
Marshfield,,1638
Ebbw Jn,,1644
Newport (South Wales) [NWP],,1648
Maindee West Jn,,1650
Llanwern West Jn,,1654
Severn Tunnel Junction [STJ],,1705
Severn Tunnel West,,1706
Severn Tunnel East,,1711
Pilning [PIL],1716,1743
Patchway [PWY],,1749
Filton Abbey Wood [FIT],,1754
Horfield Junction,,1755
Dr Day's Jn,,1802½
Bristol East Jn,,1803½
Bristol Temple Meads [BRI],1805,1836
Bristol East Jn,,1838
North Somerset Jn,,1839
Bath Spa [BTH],1849,
